Number,Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Impact
187,1826,10,11,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Shield volcano,2,,,2,,,,,,,,,2
188,1826,10,13,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Shield volcano,4,M,,1,,,65,2,,3,,3,9
189,1826,10,,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Shield volcano,2,T,,3,,,,,,,,,3
190,1829,,,,,Guntur,Java,Indonesia,-9.23.00,121.01.00,2251,Shield volcano,2,,,3,,,,,,,,,3
191,1832,11,1,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Shield volcano,2,L,,2,,,,,,,,,2
192,1832,12,25,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Shield volcano,2,,32,1,,,,,,,,2,3
193,1833,11,24,,,Kaba,Sumatra,Indonesia,-11.42.00,112.15.00,1940,Shield volcano,2,M,126,3,,,,,,,,,3
194,1835,1,20,,,Cosiguina,Nicaragua,Nicaragua,13.38,-87.57.00,872,Shield volcano,5,"G,I",,1,,,,,,,,,1
195,1835,11,1,,1787,Banda Api,Banda Sea,Pacific Ocean,-12.43.00,143.41.00,596,Shield volcano,,,,3,,,,,,2,,2,7
196,1838,2,26,,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Shield volcano,2,T,4,1,,,,,,,,,1
197,1840,2,2,718,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Shield volcano,3,,,,,,,,,1,,,1
198,1840,5,30,714,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,0,,,,,,,,,1,,,1
199,1840,7,2,,,Ararat,Turkey,Turkey,39.7,44.3,5165,Shield volcano,3,P,1900,4,,,,,,,,,4
200,1840,,,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13.00,160.22.00,485,Shield volcano,3,P,100,3,,,,,,,,,3
201,1840,,,,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-16.26.00,178.24.00,796,Shield volcano,3,P,,3,,,,,,,,,3
202,1841,4,,,,Kuchinoerabujima,Ryukyu Is,Japan,37.23.00,133.37.00,657,Shield volcano,2,T,,,,,,,,2,,2,4
203,1843,8,,,,Lamongan,Java,Indonesia,-23.21.00,118.41.00,1641,Shield volcano,2,,4,1,,,,,,,,,1
204,1843,11,25,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Shield volcano,2,L,59,2,,,,2,,,,,4
205,1845,2,19,,1867,"Ruiz, Nevado del",Colombia,Colombia,18.52,-80.24.00,5279,Shield volcano,3,M,1000,3,,,,,,,,,3
206,1845,9,2,,,Hekla,Iceland-S,Iceland,79.23.00,-30.06.00,1490,Shield volcano,4,,,,,,,,,1,,,1
207,1846,5,7,,,Taupo,New Zealand,New Zealand,-51.01.00,189.53.00,760,Shield volcano,,m,63,2,,,,,,,,,2
208,1846,5,27,,,Tangkuban Parahu,Java,Indonesia,-7.17.00,107.6,2084,Shield volcano,2,,,1,,,,,,,,,1
209,1846,11,18,,,Esan,Hokkaido-Japan,Japan,54.25.00,143.46.00,618,Shield volcano,1,M,,3,,,,,,,,,3
210,1847,4,9,,,Fogo,Cape Verde Is,Cape Verde,15.35,-24.35.00,2829,Shield volcano,2,S,,1,,,,,,,,,1
211,1847,12,4,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Shield volcano,2,,,2,,,,,,,,,2
212,1848,5,16,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Shield volcano,3,M,22,1,,,,,,,800,3,4
213,1850,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-8.06.00,155.14.00,688,Shield volcano,2,T,,3,,,,,,,,,3
214,1853,6,24,,,Niuafo'ou,Tonga-SW Pacific,Tonga,-15.6,-176.03.00,260,Shield volcano,0,L,25,1,,,,,,,,,1
215,1853,7,13,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Shield volcano,3,P,34,1,,,,,,,,1,2
216,1854,2,18,,,Sheveluch,Kamchatka,Russia,66.53.00,161.36.00,3283,Shield volcano,5,,,,,,,,,1,,,1
217,1854,2,,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Shield volcano,2,,3,1,,,,,,,,,1
218,1856,3,2,859,1995,Awu,Sangihe Is-Indonesia,Indonesia,14.29,132.27.00,1318,Stratovolcano,3,P,2806,4,,,,2,,3,,3,12
219,1856,9,25,,,Hokkaido-Komagatake,Hokkaido-Japan,Japan,43.03.00,151.17.00,1131,Stratovolcano,4,"P,T",25,1,,,,,,,,3,4
220,1858,1,,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,2,P,,1,,,,,,,,,1
221,1858,4,23,,10184,Midagahara,Honshu-Japan,Japan,45.31.00,137.59.00,2621,Stratovolcano,,m,,3,,,,,,,,,3
222,1858,7,3,,,Midagahara,Honshu-Japan,Japan,45.31.00,137.59.00,2621,Stratovolcano,,m,,3,,,,,,,,,3
223,1860,4,,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,2,,,,,,,,,1,,,1
224,1860,8,18,,,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,2,,,,,,,,,1,,,1
225,1860,,,,,Grimsvotn,Iceland-NE,Iceland,70.56.00,-22.16.00,1719,Stratovolcano,,m,1,1,,,,,,,,,1
226,1861,5,7,,2049,Dubbi,Africa-NE,Eritrea,22.39,54.29.00,1625,Stratovolcano,3,P,106,3,,,,,,3,,3,9
227,1861,5,,,,Grimsvotn,Iceland-NE,Iceland,70.56.00,-22.16.00,1719,Stratovolcano,2,,,,,,,,,1,,,1
228,1861,12,29,,,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,"P,I",326,3,,,47,1,,,,3,7
229,1863,8,17,929,6150,Yasur,Vanuatu-SW Pacific,Vanuatu,-27.52.00,176.27.00,361,Stratovolcano,,,,3,,,,,,,,,3
230,1864,1,4,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,2,M,54,2,,,,,,,,3,5
231,1866,2,20,,,Santorini,Greece,Greece,42.44.00,31.36.00,367,Stratovolcano,2,T,1,1,,,,1,,,,,2
232,1867,10,21,,,Zaozan [Zaosan],Honshu-Japan,Japan,40.24.00,140.44.00,1841,Stratovolcano,2,M,3,1,,,,,,,,,1
233,1868,4,3,971,2125,Mauna Loa,Hawaiian Is,United States,26.55.00,-165.08.00,4170,Stratovolcano,2,"W,M",,,,,,,,1,37,1,2
234,1869,7,7,,,Lewotobi,Lesser Sunda Is,Indonesia,-17.02.00,134.55.00,1703,Stratovolcano,2,,2,1,,,,,,,,,1
235,1869,8,,,,Lamongan,Java,Indonesia,-23.21.00,118.41.00,1641,Stratovolcano,2,"T,A",8,1,,,,,,,,,1
236,1870,8,,,,Ruang,Sangihe Is-Indonesia,Indonesia,2.3,125.37.00,725,Stratovolcano,2,,,1,,,,,,,40,1,2
237,1870,,,,,Iliwerung,Lesser Sunda Is,Indonesia,-16.52.00,132.33.00,583,Stratovolcano,3,,,1,,,,,,,,,1
238,1870,,,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-21.29.00,180.55.00,1496,Stratovolcano,2,M,100,3,,,,,,3,,3,9
239,1871,3,3,1022,,Ruang,Sangihe Is-Indonesia,Indonesia,2.3,125.37.00,725,Stratovolcano,2,W,,,,,,,,1,,1,2
240,1871,4,30,1020,2179,Camiguin,Mindanao-Philippines,Philippines,12.23,135.13.00,1552,Stratovolcano,2,,,1,,,,,,3,,3,7
241,1871,8,7,,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,2,T,1,1,,,1,1,,,,,2
242,1871,12,8,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,3,P,3,1,,,,,,,,,1
243,1872,4,15,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,4,T,30,1,,,,1,,,50,1,3
244,1872,4,17,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,4,P,170,3,,,,,,,,2,5
245,1872,4,24,,,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Stratovolcano,3,"L,G",9,1,,,11,1,,,,,2
246,1872,11,3,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,4,"P,T",200,3,,,,,,3,,3,9
247,1872,12,,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Stratovolcano,3,T,4,1,,,,,,,,,1
248,1872,,,,,Sinarka,Kuril Is,Russia,62.33.00,157.02.00,911,Stratovolcano,4,P,,3,,,,,,,,,3
249,1873,1,16,,,Ragang,Mindanao-Philippines,Philippines,18.31,132.27.00,2790,Stratovolcano,2,,,1,,,,,,,,,1
250,1873,,,,,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Stratovolcano,,"G,T",9,1,,,,,,,,,1
251,1874,7,3,,,Miyakejima,Izu Is-Japan,Japan,35.34.00,147.46.00,775,Stratovolcano,3,T,1,1,,,,,,,45,1,2
252,1874,7,19,,,Taal,Luzon-Philippines,Philippines,14.11,136.38.00,311,Stratovolcano,2,,,1,,,,,,,,,1
253,1875,1,29,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,,m,,1,,,30,1,,2,,2,6
254,1875,3,29,,,Askja,Iceland-NE,Iceland,65.33.00,-29.03.00,1080,Stratovolcano,5,,,,,,,,,1,,,1
255,1875,,,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,,m,1500,4,,,,,,,,,4
256,1877,6,25,,,Cotopaxi,Ecuador,Ecuador,-11.17.00,-85.16.00,5911,Stratovolcano,4,M,340,3,,,,,,,,,3
257,1878,2,4,1095,6195,Rabaul,New Britain-SW Pac,Papua New Guinea,-8.06.00,155.14.00,688,Stratovolcano,3,T,1,1,,,,,,,,,1
258,1883,3,,,,Karthala,Indian O-W,Comoros,-12.15.00,43.38.00,2361,Stratovolcano,2,L,,3,,,,,,3,,,6
259,1883,8,27,1142,,Krakatau,Indonesia,Indonesia,-7.41.00,112.03.00,285,Stratovolcano,6,"W,P,I",2000,4,,,,3,,3,,3,13
260,1883,10,6,1143,,Augustine,Alaska-SW,United States,65.03.00,-160.15.00,1218,Stratovolcano,4,,8,1,,,,,,,,,1
261,1883,12,,,,Bagana,Bougainville-SW Paci,Papua New Guinea,-8.17.00,158.16.00,1855,Stratovolcano,3,T,,2,,,,,,,,,2
262,1885,4,18,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,2,A,74,2,,,,,,,,,2
263,1885,5,25,,2347,Purace,Colombia,Colombia,2.32,-76.4,4650,Stratovolcano,3,,,2,,,,,,2,,2,6
264,1886,1,11,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,4,P,2,1,,,,,,,,,1
265,1886,6,10,5777,,Okataina,New Zealand,New Zealand,-40.37.00,184.27.00,1111,Stratovolcano,5,T,153,3,,,,,,,,,3
266,1886,8,31,,,Niuafo'ou,Tonga-SW Pacific,Tonga,-15.6,-176.03.00,260,Stratovolcano,4,,,1,,1,,,,,,,2
267,1887,3,9,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,3,T,15,1,,,,,,1,,1,3
268,1888,7,15,,,Bandaisan,Honshu-Japan,Japan,47.01.00,141.12.00,1816,Stratovolcano,4,"A,P",461,3,,,70,2,,2,,2,9
269,1890,6,29,,,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,2,,,,,,,,,3,,3,6
270,1890,,,,,Victory,New Guinea,Papua New Guinea,-9.2,150.12.00,1832,Stratovolcano,2,P,,3,,,,,,,,,3
271,1892,5,21,,,Sorikmarapi,Sumatra,Indonesia,11.26,107.59.00,2145,Stratovolcano,2,M,180,3,,,,,,,,,3
272,1892,6,7,1197,,Awu,Sangihe Is-Indonesia,Indonesia,14.29,132.27.00,1318,Stratovolcano,3,"P,M",1532,4,,,,,,3,,3,10
273,1893,1,7,,,Calbuco,Chile-S,Chile,-41.33.00,-82.18.00,1974,Stratovolcano,4,,,,,,,,,1,,,1
274,1893,6,7,,,Azumayama,Honshu-Japan,Japan,49.15.00,144.04.00,1949,Stratovolcano,2,T,2,1,,,,,,,,,1
275,1894,10,,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25.00,168.12.00,1334,Stratovolcano,3,"T,L",10,1,,,,,,,,,1
276,1895,5,22,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,2,M,80,2,,,,,,1,,,3
277,1895,6,17,,,Karkar,New Guinea-NE of,Papua New Guinea,-14.47.00,161.16.00,1839,Stratovolcano,2,"I,M",1,1,,,,,,,,,1
278,1895,10,16,,,Kirishimayama,Kyushu-Japan,Japan,46.34.00,144.22.00,1700,Stratovolcano,2,T,4,1,,,,,,,,,1
279,1895,,,,,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.46.00,150.1,408,Stratovolcano,2,?,,1,,,,,,1,,,2
280,1896,3,15,,,Kirishimayama,Kyushu-Japan,Japan,46.34.00,144.22.00,1700,Stratovolcano,2,T,1,1,,,1,1,,,,,2
281,1897,5,23,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,3,"P,T,M",350,3,,,,,,,,,3
282,1899,11,13,,,Dona Juana,Colombia,Colombia,1.5,-91.36.00,4137,Stratovolcano,4,P,55,2,,,,,,,,,2
283,1899,,,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,2,,2,1,,,,,,,,,1
284,1900,1,22,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Stratovolcano,2,,25,1,,,,,,,,,1
285,1900,2,16,,,Kirishimayama,Kyushu-Japan,Japan,46.34.00,144.22.00,1700,Stratovolcano,2,,2,1,,,3,1,,,,,2
286,1900,7,17,,,Adatarayama,Honshu-Japan,Japan,47.47.00,144.41.00,1728,Stratovolcano,2,T,72,2,,,10,1,,,,,3
287,1900,,,,,Bora-Bericha-Tullu Moye,Africa-NE,Ethiopia,11.31,40.21.00,2345,Stratovolcano,,,,,,,,,,1,,,1
288,1901,5,22,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,3,,,2,,,,,,,,,2
289,1902,5,5,2881,,Pelee,W Indies,Martinique,27.29.00,-63.46.00,1372,Stratovolcano,4,"W,M",23,1,,,,,,,,,1
290,1902,5,7,2873,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18.00,1220,Stratovolcano,4,P,1680,4,,,,3,,1,,,8
291,1902,5,8,1288,,Pelee,W Indies,Martinique,27.29.00,-63.46.00,1372,Stratovolcano,4,P,28000,4,,,,,,,,,4
292,1902,8,7,,,Izu-Torishima,Izu Is-Japan,Japan,38.04.00,145.03.00,394,Stratovolcano,3,,125,3,,,,,,,,,3
293,1902,8,30,1291,,Pelee,W Indies,Martinique,27.29.00,-63.46.00,1372,Stratovolcano,4,P,1500,4,,,,,,,,,4
294,1902,10,25,,,Santa Maria,Guatemala,Guatemala,26.37.00,-100.12.00,3745,Stratovolcano,6,"T,G",2500,4,,,,,,2,,2,8
295,1902,12,,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,P,16,1,,,45,1,,,,2,4
296,1903,8,30,,,Okataina,New Zealand,New Zealand,-40.37.00,184.27.00,1111,Stratovolcano,1,T,4,1,,,,,,,,,1
297,1903,,,,,Karthala,Indian O-W,Comoros,-12.15.00,43.38.00,2361,Stratovolcano,,G,17,1,,,,,,,,,1
298,1904,1,30,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,P,16,1,,,45,1,,,,,2
299,1904,2,25,,,Karthala,Indian O-W,Comoros,-12.15.00,43.38.00,2361,Stratovolcano,2,L,1,1,,,,,,1,,,2
300,1905,3,10,,,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Stratovolcano,2,T,1,1,,,1,1,,,,,2
301,1905,8,4,1326,,Savaii,Samoa-SW Pacific,Samoa,-23.12.00,-180.45.00,1858,Stratovolcano,2,,,,,,,,,3,,3,6
302,1906,4,4,3413,,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Stratovolcano,3,"T,L",350,3,,,300,3,,,,,6
303,1907,8,4,,,Alayta,Africa-NE,Ethiopia,26.48.00,49.33.00,1496,Stratovolcano,2,,,1,,,,,,,,,1
304,1907,9,28,,,Lewotobi,Lesser Sunda Is,Indonesia,-17.02.00,134.55.00,1703,Stratovolcano,2,,1,1,,,,1,,,,,2
305,1907,10,6,1363,,Savaii,Samoa-SW Pacific,Samoa,-23.12.00,-180.45.00,1858,Stratovolcano,,,,,,,,,,3,,3,6
306,1909,8,29,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,2,m,221,3,,,,,,1,,,4
307,1910,3,20,,,Taupo,New Zealand,New Zealand,-51.01.00,189.53.00,760,Stratovolcano,,m,1,1,,,,,,,,,1
308,1910,7,25,,,Toya,Hokkaido-Japan,Japan,51.04.00,153.59.00,733,Stratovolcano,2,M,1,1,,,,,,,,,1
309,1911,1,30,1392,8391,Taal,Luzon-Philippines,Philippines,14.11,136.38.00,311,Stratovolcano,3,"P,W",1335,4,,,199,3,,3,543,3,13
310,1911,5,8,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Stratovolcano,2,T,1,1,,,2,1,,,60,2,4
311,1911,8,15,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Stratovolcano,2,T,2,1,,,36,1,,,,,2
312,1911,11,8,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,,,,,,,,,1,,,1
313,1912,9,6,,,Novarupta,Alaska Peninsula,United States,62.26.00,-157.39.00,841,Stratovolcano,6,T,2,1,,,,,,,,,1
314,1912,12,3,,,Nyamulagira,Africa-C,"Congo, DRC",-7.48.00,29.2,3058,Stratovolcano,3,L,20,1,,,,,,,,,1
315,1913,1,20,,,Colima,Mexico,Mexico,27.34.00,-104.02.00,3850,Stratovolcano,4,"P,m",13,1,,,,,,,,,1
316,1913,5,29,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Stratovolcano,1,T,1,1,,,1,1,,,,,2
317,1913,6,23,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,2,,,,,,,,,1,,,1
318,1913,12,6,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25.00,168.12.00,1334,Stratovolcano,3,T,21,1,,,,,,3,,,4
319,1914,1,12,1412,2994,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,4,"I,S,A,T",28,1,,,,3,0.04,1,2148,4,9
320,1914,9,10,,,Whakaari/White Island,New Zealand,New Zealand,-37.52.00,177.18.00,294,Stratovolcano,,A,11,1,,,,,,,,,1
321,1914,,,,,Witori,New Britain-SW Pac,Papua New Guinea,-14.35.00,158.36.00,724,Stratovolcano,3,I,,1,,,,,,,,,1
322,1914,,,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-21.29.00,180.55.00,1496,Stratovolcano,,L,100,2,,,,,,,,,2
323,1917,1,1,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-14.44.00,50.14.00,2962,Stratovolcano,3,,,,,,,,,1,,,1
324,1917,4,1,,,Okataina,New Zealand,New Zealand,-40.37.00,184.27.00,1111,Stratovolcano,1,T,2,1,,,3,1,,,,,2
325,1917,6,7,,6877,San Salvador,El Salvador,El Salvador,25.14.00,-93.54.00,1893,Stratovolcano,3,"S,L",325,3,,,,,,,,,3
326,1918,10,12,1452,,Katla,Iceland-S,Iceland,73.33.00,-20.23.00,1490,Stratovolcano,4,,,,,,,,,1,,,1
327,1919,2,19,,,Popocatepetl,Mexico,Mexico,19.23,-108.22.00,5393,Stratovolcano,1,A,,2,,,,,,,,,2
328,1919,4,3,3511,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,5.18,133.11.00,-5,Stratovolcano,3,,,,,,,,,1,,1,2
329,1919,5,19,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,4,M,5110,4,,,,,,,9000,4,8
330,1919,5,22,1476,,Stromboli,Italy,Italy,51.09.00,18.33,924,Stratovolcano,3,T,4,1,,,,3,,1,10,1,6
331,1919,7,6,,,Nasudake,Honshu-Japan,Japan,39.05.00,155.03.00,1915,Stratovolcano,,G,2,1,,,,,,,,,1
332,1920,7,25,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,P,35,1,,,,,,,,,1
333,1920,10,29,,,Izalco,El Salvador,El Salvador,26.33.00,-99.33.00,1950,Stratovolcano,3,P,,1,,,,,,,,,1
334,1921,11,26,,,Nasudake,Honshu-Japan,Japan,39.05.00,155.03.00,1915,Stratovolcano,,G,1,1,,,,,,,,,1
335,1923,6,,,,Tangkuban Parahu,Java,Indonesia,-7.17.00,107.6,2084,Stratovolcano,,G,3,1,,,,,,,,,1
336,1923,7,1,,,Kirishimayama,Kyushu-Japan,Japan,46.34.00,144.22.00,1700,Stratovolcano,2,,1,1,,,,,,,,,1
337,1924,5,10,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Stratovolcano,2,T,1,1,,,,,,,,,1
338,1924,12,18,,,Papandayan,Java,Indonesia,-7.32.00,108.13.00,2665,Stratovolcano,1,G,1,1,,,,,,,,,1
339,1926,1,23,,,Santorini,Greece,Greece,42.44.00,31.36.00,367,Stratovolcano,2,S,48,1,,,,,,,,,1
340,1926,5,24,,,Tokachidake,Hokkaido-Japan,Japan,49.58.00,153.26.00,2077,Stratovolcano,3,"M,T",144,3,,,207,3,,,5080,4,10
341,1926,9,8,,,Tokachidake,Hokkaido-Japan,Japan,49.58.00,153.26.00,2077,Stratovolcano,3,,,,2,1,,,,,,,1
342,1927,9,5,,,Esjufjoll,Iceland-SE,Iceland,64.25.00,-25.43.00,1620,Stratovolcano,1,M,1,1,,,,,,,,,1
343,1928,1,,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,3,P,,1,,,,,,,,,1
344,1928,5,13,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Stratovolcano,2,T,40,1,,,,,,,,,1
345,1928,8,4,1607,,Paluweh,Lesser Sunda Is,Indonesia,-8.32.00,132.48.00,875,Stratovolcano,3,"W,T",98,2,,,,,,1,,,3
346,1928,11,8,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,1,L,5,1,,,,,,,,,1
347,1929,6,17,,,Hokkaido-Komagatake,Hokkaido-Japan,Japan,43.03.00,151.17.00,1131,Stratovolcano,4,T,2,1,,,4,1,,,1915,4,6
348,1929,8,2,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,1,T,2,1,,,,,,,,,1
349,1929,11,2,,,Santa Maria,Guatemala,Guatemala,26.37.00,-100.12.00,3745,Stratovolcano,3,"P,M",200,3,,,,,,,,,3
350,1930,8,20,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Stratovolcano,3,T,6,1,,,,,,,,,1
351,1930,9,11,4218,,Stromboli,Italy,Italy,51.09.00,18.33,924,Stratovolcano,3,"P,W,T",5,1,,,20,1,,2,,,4
352,1930,12,18,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,3,"P,M",1369,4,,,,,,3,1109,4,11
353,1931,8,20,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Stratovolcano,3,,3,1,,,,,,,,,1
354,1932,1,21,,,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,4,,,1,,,,,,,,,1
355,1932,2,,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,,m,,1,,,,,,,,,1
356,1932,10,1,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,46.18.00,146.48.00,2165,Stratovolcano,3,M,2,1,,,7,1,,,,,2
357,1933,5,10,,,Hakoneyama,Honshu-Japan,Japan,38.53.00,139.21.00,1438,Stratovolcano,,G,1,1,,,,,,,,,1
358,1933,12,24,,,Kuchinoerabujima,Ryukyu Is,Japan,37.23.00,133.37.00,657,Stratovolcano,4,T,8,1,,,26,1,,,,,2
359,1934,,,,,Hood,US-Oregon,United States,51.14.00,-132.35.00,3426,Stratovolcano,,G,1,1,,,,,,,,,1
360,1936,7,29,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Stratovolcano,3,"P,T",2,1,,,,,,,,,1
361,1936,8,14,,,Dona Juana,Colombia,Colombia,1.5,-91.36.00,4137,Stratovolcano,,"A,F",18,1,,,,,,,,,1
362,1937,2,9,,,Llaima,Chile-C,Chile,-49.32.00,-83.09.00,3125,Stratovolcano,2,F,3,1,,,,,,1,,,2
363,1937,5,29,1698,10010,Rabaul,New Britain-SW Pac,Papua New Guinea,-8.06.00,155.14.00,688,Stratovolcano,4,"P,T,W,I",507,3,,,,,,1,,1,5
364,1938,1,28,3638,,Nyamulagira,Africa-C,"Congo, DRC",-7.48.00,29.2,3058,Stratovolcano,1,,,,,,,,,1,,,1
365,1938,5,9,,,Bandaisan,Honshu-Japan,Japan,47.01.00,141.12.00,1816,Stratovolcano,,m,2,1,,,,,,,,,1
